BusID,Gen_Max,Gen_Level,Load
1,0,0,0
2,0,0,443.1
3,0,0,0
4,0,0,300.7
5,0,0,238
6,0,0,0
7,0,0,0
8,0,0,72.2
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,511.9
13,0,0,185.8
14,1257,944,0
15,0,0,0
16,2000,1366,0
17,1050,1000,0
18,0,0,0
19,1670,773,0
20,0,0,1091.2
21,0,0,0
22,0,0,81.9
23,0,0,458.1
24,0,0,478.2
25,0,0,0
26,0,0,231.9
27,220,54,0
28,800,730,0
29,0,0,0
30,0,0,0
31,700,310,0
32,500,450,0
33,0,0,229.1
34,748,221,0
35,0,0,216
36,0,0,90.1
37,300,212,0
38,0,0,216
39,600,221,0
40,0,0,262.1
41,0,0,0
42,0,0,1607.9
43,0,0,0
44,0,0,79.1
45,0,0,86.7
46,700,599,0
